"theDate","Label1","Deaths","Population","percapita","standardpop","ASM"
2011-01-12,"Under 30",2.85714285714286,1807653.33333333,1.58058119024086e-06,1993780,3.15133116547842
2011-01-13,"Under 30",2.73469387755102,1807679.44444444,1.51282014405573e-06,1993780,3.01623054681543
2011-01-14,"Under 30",2.61224489795918,1807705.55555556,1.44506105539758e-06,1993780,2.88113383103059
2011-01-15,"Under 30",2.48979591836735,1807731.66666667,1.3773039241816e-06,1993780,2.74604101795479
2011-01-16,"Under 30",2.36734693877551,1807757.77777778,1.30954875032297e-06,1993780,2.61095210741892
2011-01-17,"Under 30",2.24489795918367,1807783.88888889,1.24179553373686e-06,1993780,2.47586709925388
2011-01-18,"Under 30",2.12244897959184,1807810,1.17404427433847e-06,1993780,2.34078599329056
2011-01-19,"Under 30",2,1807836.11111111,1.106294972043e-06,1993780,2.2057087893599
2011-01-20,"Under 30",1.97959183673469,1807862.22222222,1.09499043256813e-06,1993780,2.18317002464569
2011-01-21,"Under 30",1.95918367346939,1807888.33333333,1.08368621963343e-06,1993780,2.16063191098075
2011-01-22,"Under 30",1.93877551020408,1807914.44444444,1.07238233322476e-06,1993780,2.13809444833686
2011-01-23,"Under 30",1.91836734693878,1807940.55555556,1.06107877332797e-06,1993780,2.11555763668584
2011-01-24,"Under 30",1.89795918367347,1807966.66666667,1.04977553992891e-06,1993780,2.09302147599946
2011-01-25,"Under 30",1.87755102040816,1807992.77777778,1.03847263301344e-06,1993780,2.07048596624953
2011-01-26,"Under 30",1.85714285714286,1808018.88888889,1.0271700525674e-06,1993780,2.04795110740784
2011-01-27,"Under 30",2.14285714285714,1808045,1.18517909833945e-06,1993780,2.36298638268722
2011-01-28,"Under 30",2.42857142857143,1808071.11111111,1.34318358036206e-06,1993780,2.67801255885427
2011-01-29,"Under 30",2.71428571428571,1808097.22222222,1.50118349883296e-06,1993780,2.99302963630318
2011-01-30,"Under 30",3,1808123.33333333,1.65917885394986e-06,1993780,3.30803761542815
2011-01-31,"Under 30",3.28571428571429,1808149.44444444,1.81716964591045e-06,1993780,3.62303649662333
2011-02-01,"Under 30",3.57142857142857,1808175.55555556,1.97515587491241e-06,1993780,3.93802628028287
2011-02-02,"Under 30",3.85714285714286,1808201.66666667,2.13313754115342e-06,1993780,4.25300696680087
2011-02-03,"Under 30",3.71428571428571,1808227.77777778,2.05410278502103e-06,1993780,4.09542905071922
2011-02-04,"Under 30",3.57142857142857,1808253.88888889,1.97507031140582e-06,1993780,3.93785568547471
2011-02-05,"Under 30",3.42857142857143,1808280,1.89604012020894e-06,1993780,3.78028687087019
2011-02-06,"Under 30",3.28571428571429,1808306.11111111,1.81701221133151e-06,1993780,3.62272260670854
2011-02-07,"Under 30",3.14285714285714,1808332.22222222,1.73798658467466e-06,1993780,3.46516289279265
2011-02-08,"Under 30",3,1808358.33333333,1.65896324013954e-06,1993780,3.30760772892541
2011-02-09,"Under 30",2.85714285714286,1808384.44444444,1.57994217762728e-06,1993780,3.15005711490972
2011-02-10,"Under 30",2.77551020408163,1808410.55555556,1.53477881200985e-06,1993780,3.060011299809
2011-02-11,"Under 30",2.69387755102041,1808436.66666667,1.48961675057485e-06,1993780,2.96996808496112
2011-02-12,"Under 30",2.61224489795918,1808462.77777778,1.44445599326578e-06,1993780,2.87992747025344
2011-02-13,"Under 30",2.53061224489796,1808488.88888889,1.39929654002615e-06,1993780,2.78988945557334
2011-02-14,"Under 30",2.44897959183673,1808515,1.35413839079949e-06,1993780,2.6998540408082
2011-02-15,"Under 30",2.36734693877551,1808541.11111111,1.30898154552931e-06,1993780,2.60982122584542
2011-02-16,"Under 30",2.28571428571429,1808567.22222222,1.26382600415913e-06,1993780,2.51979101057239
2011-02-17,"Under 30",3.46938775510204,1808593.33333333,1.91827963266224e-06,1993780,3.82462756600932
2011-02-18,"Under 30",4.65306122448979,1808619.44444444,2.57271436441903e-06,1993780,5.12942644549138
2011-02-19,"Under 30",5.83673469387755,1808645.55555556,3.22713020024794e-06,1993780,6.43418765065034
2011-02-20,"Under 30",7.02040816326531,1808671.66666667,3.88152714096734e-06,1993780,7.73891118311787
2011-02-21,"Under 30",8.20408163265306,1808697.77777778,4.53590518739557e-06,1993780,9.04359704452554
2011-02-22,"Under 30",9.38775510204081,1808723.88888889,5.19026434035091e-06,1993780,10.3482452365048
2011-02-23,"Under 30",10.5714285714286,1808750,5.84460460065159e-06,1993780,11.6528557606871
2011-02-24,"Under 30",9.38775510204082,1808776.11111111,5.19011448922444e-06,1993780,10.3479464663259
2011-02-25,"Under 30",8.20408163265306,1808802.22222222,4.53564327368741e-06,1993780,9.04307484621248
2011-02-26,"Under 30",7.02040816326531,1808828.33333333,3.88119095322219e-06,1993780,7.73824089871534
2011-02-27,"Under 30",5.83673469387755,1808854.44444444,3.22675752701052e-06,1993780,6.43344462220304
2011-02-28,"Under 30",4.6530612244898,1808880.55555556,2.5723429942342e-06,1993780,5.12868601504426
2011-03-01,"Under 30",3.46938775510204,1808906.66666667,1.91794735407504e-06,1993780,3.82396507560774
2011-03-02,"Under 30",2.28571428571429,1808932.77777778,1.26357060571495e-06,1993780,2.51928180226234
2011-03-03,"Under 30",2.3469387755102,1808958.88888889,1.29739751960408e-06,1993780,2.58672522663623
2011-03-04,"Under 30",2.40816326530612,1808985,1.33122345696958e-06,1993780,2.65416670403682
2011-03-05,"Under 30",2.46938775510204,1809011.11111111,1.36504841785373e-06,1993780,2.72160623454841
2011-03-06,"Under 30",2.53061224489796,1809037.22222222,1.39887240229881e-06,1993780,2.78904381825531
2011-03-07,"Under 30",2.59183673469388,1809063.33333333,1.43269541034709e-06,1993780,2.85647945524182
2011-03-08,"Under 30",2.6530612244898,1809089.44444444,1.46651744204086e-06,1993780,2.92391314559224
2011-03-09,"Under 30",2.71428571428571,1809115.55555556,1.5003384974224e-06,1993780,2.99134488939083
2011-03-10,"Under 30",2.6530612244898,1809141.66666667,1.46647510992218e-06,1993780,2.92382874466064
2011-03-11,"Under 30",2.59183673469388,1809167.77777778,1.43261269989976e-06,1993780,2.85631454880615
2011-03-12,"Under 30",2.53061224489796,1809193.88888889,1.39875126731283e-06,1993780,2.78880230174297
2011-03-13,"Under 30",2.46938775510204,1809220,1.36489081211906e-06,1993780,2.72129200338673
2011-03-14,"Under 30",2.40816326530612,1809246.11111111,1.33103133427613e-06,1993780,2.65378365365306
2011-03-15,"Under 30",2.3469387755102,1809272.22222222,1.29717283374173e-06,1993780,2.58627725245759
2011-03-16,"Under 30",2.28571428571429,1809298.33333333,1.26331531047356e-06,1993780,2.51877279971596
2011-03-17,"Under 30",2.28571428571429,1809324.44444444,1.2632970790466e-06,1993780,2.51873645026154
2011-03-18,"Under 30",2.28571428571429,1809350.55555556,1.26327884814586e-06,1993780,2.51870010185624
2011-03-19,"Under 30",2.28571428571429,1809376.66666667,1.26326061777129e-06,1993780,2.51866375450004
2011-03-20,"Under 30",2.28571428571429,1809402.77777778,1.26324238792288e-06,1993780,2.51862740819287
2011-03-21,"Under 30",2.28571428571429,1809428.88888889,1.2632241586006e-06,1993780,2.5185910629347
2011-03-22,"Under 30",2.28571428571429,1809455,1.26320592980444e-06,1993780,2.51855471872549
2011-03-23,"Under 30",2.28571428571429,1809481.11111111,1.26318770153436e-06,1993780,2.51851837556518
2011-03-24,"Under 30",2.44897959183673,1809507.22222222,1.35339586477538e-06,1993780,2.69837360727185
2011-03-25,"Under 30",2.61224489795918,1809533.33333333,1.44360142465416e-06,1993780,2.87822364844696
2011-03-26,"Under 30",2.77551020408163,1809559.44444444,1.53380438128339e-06,1993780,3.0580684993152
2011-03-27,"Under 30",2.93877551020408,1809585.55555556,1.62400473477578e-06,1993780,3.23790816010125
2011-03-28,"Under 30",3.10204081632653,1809611.66666667,1.714202485244e-06,1993780,3.41774263102978
2011-03-29,"Under 30",3.26530612244898,1809637.77777778,1.80439763280072e-06,1993780,3.59757191232542
2011-03-30,"Under 30",3.42857142857143,1809663.88888889,1.89459017755862e-06,1993780,3.77739600421283
2011-03-31,"Under 30",3.20408163265306,1809690,1.77051408398845e-06,1993780,3.5300155703745
2011-04-01,"Under 30",2.97959183673469,1809663.84615385,1.64648912176001e-06,1993780,3.28273708118268
2011-04-02,"Under 30",2.75510204081633,1809637.69230769,1.52246057458217e-06,1993780,3.03545144439044
2011-04-03,"Under 30",2.53061224489796,1809611.53846154,1.39842844229949e-06,1993780,2.78815865968788
2011-04-04,"Under 30",2.30612244897959,1809585.38461538,1.27439272475653e-06,1993780,2.54085872676507
2011-04-05,"Under 30",2.08163265306122,1809559.23076923,1.15035342179782e-06,1993780,2.29355164531207
2011-04-06,"Under 30",1.85714285714286,1809533.07692308,1.02631053326792e-06,1993780,2.04623741501891
2011-04-07,"Under 30",2.04081632653061,1809506.92307692,1.12783007376416e-06,1993780,2.24864504446952
2011-04-08,"Under 30",2.22448979591837,1809480.76923077,1.22935254894365e-06,1993780,2.45105852503288
2011-04-09,"Under 30",2.40816326530612,1809454.61538462,1.33087795893363e-06,1993780,2.6534778569627
2011-04-10,"Under 30",2.59183673469388,1809428.46153846,1.43240630386137e-06,1993780,2.85590304051273
2011-04-11,"Under 30",2.77551020408163,1809402.30769231,1.53393758385413e-06,1993780,3.0583340759367
2011-04-12,"Under 30",2.95918367346939,1809376.15384615,1.63547179903919e-06,1993780,3.26077096348837
2011-04-13,"Under 30",3.14285714285714,1809350,1.73700894954384e-06,1993780,3.46321370342151
2011-04-14,"Under 30",3.16326530612245,1809323.84615385,1.74831350001092e-06,1993780,3.48575249005177
2011-04-15,"Under 30",3.18367346938776,1809297.69230769,1.75961837729815e-06,1993780,3.50829192828951
2011-04-16,"Under 30",3.20408163265306,1809271.53846154,1.77092358141971e-06,1993780,3.53083201816299
2011-04-17,"Under 30",3.22448979591837,1809245.38461538,1.78222911238977e-06,1993780,3.55337275970048
2011-04-18,"Under 30",3.24489795918367,1809219.23076923,1.7935349702225e-06,1993780,3.57591415293022
2011-04-19,"Under 30",3.26530612244898,1809193.07692308,1.80484115493209e-06,1993780,3.59845619788049
2011-04-20,"Under 30",3.28571428571429,1809166.92307692,1.81614766653269e-06,1993780,3.62099889457955
2011-04-21,"Under 30",3.10204081632653,1809140.76923077,1.71464867139415e-06,1993780,3.41863222805223
2011-04-22,"Under 30",2.91836734693878,1809114.61538462,1.61314674157244e-06,1993780,3.2162597104123
2011-04-23,"Under 30",2.73469387755102,1809088.46153846,1.51164187694029e-06,1993780,3.01388134140601
2011-04-24,"Under 30",2.55102040816327,1809062.30769231,1.4101340773704e-06,1993780,2.81149712077956
2011-04-25,"Under 30",2.36734693877551,1809036.15384615,1.30862334273549e-06,1993780,2.60910704827917
2011-04-26,"Under 30",2.18367346938776,1809010,1.20710967290825e-06,1993780,2.40671112365101
2011-04-27,"Under 30",2,1808983.84615385,1.10559306776137e-06,1993780,2.20430934664127
2011-04-28,"Under 30",2,1808957.69230769,1.10560905238673e-06,1993780,2.20434121646762
2011-04-29,"Under 30",2,1808931.53846154,1.10562503747431e-06,1993780,2.20437308721553
2011-04-30,"Under 30",2,1808905.38461538,1.10564102302412e-06,1993780,2.20440495888504
2011-05-01,"Under 30",2,1808879.23076923,1.10565700903619e-06,1993780,2.20443683147618
2011-05-02,"Under 30",2,1808853.07692308,1.10567299551054e-06,1993780,2.20446870498901
2011-05-03,"Under 30",2,1808826.92307692,1.10568898244719e-06,1993780,2.20450057942355
2011-05-04,"Under 30",2,1808800.76923077,1.10570496984615e-06,1993780,2.20453245477986
2011-05-05,"Under 30",2.06122448979592,1808774.61538462,1.1395695584536e-06,1993780,2.27205099425361
2011-05-06,"Under 30",2.12244897959184,1808748.46153846,1.17343512640036e-06,1993780,2.3395714863145
2011-05-07,"Under 30",2.18367346938776,1808722.30769231,1.20730167372892e-06,1993780,2.40709393104724
